pt,symbol_idx,osf_idx,ia,iz,ctle_A,ctle_z,post_channel_raw,post_ctle,desired,bit_error,ctle_cnt,err_acc,ctle_train_done
0,0,0,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
1,0,1,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
2,0,2,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
3,0,3,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
4,0,4,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
5,0,5,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
6,0,6,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
7,0,7,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
8,0,8,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
9,0,9,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
10,0,10,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
11,0,11,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
12,0,12,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
13,0,13,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
14,0,14,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
15,0,15,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
16,1,0,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
17,1,1,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
18,1,2,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
19,1,3,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
20,1,4,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
21,1,5,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
22,1,6,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
23,1,7,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
24,1,8,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
25,1,9,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
26,1,10,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
27,1,11,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
28,1,12,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
29,1,13,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
30,1,14,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
31,1,15,0,0,1.00000000e+00,5.00000000e+10,0.00000000e+00,0.00000000e+00,nan,nan,0,0.00000000e+00,0
32,2,0,0,0,1.00000000e+00,5.00000000e+10,2.61948541e-05,3.51603756e-06,nan,nan,0,0.00000000e+00,0
33,2,1,0,0,1.00000000e+00,5.00000000e+10,5.44989377e-05,1.77871075e-05,nan,nan,0,0.00000000e+00,0
34,2,2,0,0,1.00000000e+00,5.00000000e+10,8.22655115e-05,4.53108070e-05,nan,nan,0,0.00000000e+00,0
35,2,3,0,0,1.00000000e+00,5.00000000e+10,1.06787050e-04,8.15083815e-05,nan,nan,0,0.00000000e+00,0
36,2,4,0,0,1.00000000e+00,5.00000000e+10,1.25555645e-04,1.19336851e-04,nan,nan,0,0.00000000e+00,0
37,2,5,0,0,1.00000000e+00,5.00000000e+10,1.36514259e-04,1.52001699e-04,nan,nan,0,0.00000000e+00,0
38,2,6,0,0,1.00000000e+00,5.00000000e+10,1.38274002e-04,1.74230680e-04,nan,nan,0,0.00000000e+00,0
39,2,7,0,0,1.00000000e+00,5.00000000e+10,1.30274987e-04,1.82681299e-04,nan,nan,0,0.00000000e+00,0
40,2,8,0,0,1.00000000e+00,5.00000000e+10,1.12872952e-04,1.75926781e-04,nan,nan,0,0.00000000e+00,0
41,2,9,0,0,1.00000000e+00,5.00000000e+10,8.73404255e-05,1.54281557e-04,nan,nan,0,0.00000000e+00,0
42,2,10,0,0,1.00000000e+00,5.00000000e+10,5.57790762e-05,1.19577700e-04,nan,nan,0,0.00000000e+00,0
43,2,11,0,0,1.00000000e+00,5.00000000e+10,2.09484335e-05,7.49143855e-05,nan,nan,0,0.00000000e+00,0
44,2,12,0,0,1.00000000e+00,5.00000000e+10,-1.39755104e-05,2.43665611e-05,nan,nan,0,0.00000000e+00,0
45,2,13,0,0,1.00000000e+00,5.00000000e+10,-4.56909996e-05,-2.73623108e-05,nan,nan,0,0.00000000e+00,0
46,2,14,0,0,1.00000000e+00,5.00000000e+10,-7.10841324e-05,-7.53432385e-05,nan,nan,0,0.00000000e+00,0
47,2,15,0,0,1.00000000e+00,5.00000000e+10,-8.75358305e-05,-1.14861473e-04,nan,nan,0,0.00000000e+00,0
48,3,0,0,0,1.00000000e+00,5.00000000e+10,-1.19387021e-04,-1.45375239e-04,nan,nan,0,0.00000000e+00,0
49,3,1,0,0,1.00000000e+00,5.00000000e+10,-1.41669470e-04,-1.71126441e-04,nan,nan,0,0.00000000e+00,0
50,3,2,0,0,1.00000000e+00,5.00000000e+10,-1.51944880e-04,-1.92998703e-04,nan,nan,0,0.00000000e+00,0
